time,R0_V,R0_V_sd,dt,NTU,NTU_sd
1655218479.767,NaN,NaN,14-06-2022 14:54:39.7670,NaN,NaN
1655222079.688,NaN,NaN,14-06-2022 15:54:39.6879,NaN,NaN
1655225679.682,NaN,NaN,14-06-2022 16:54:39.6820,NaN,NaN
1655229279.675,NaN,NaN,14-06-2022 17:54:39.6750,NaN,NaN
1655232879.715,NaN,NaN,14-06-2022 18:54:39.7150,NaN,NaN
1655236479.696,0.077362060546875,0.00372035629619822,14-06-2022 19:54:39.6959,-20.8744421448231,-50.6661416641251
1655240079.662,0.07904052734375,0.00485288586484973,14-06-2022 20:54:39.6620,-20.1954195858745,-50.2079776258359
1655243679.642,0.081939697265625,0.00359920252692525,14-06-2022 21:54:39.6420,-19.0225624385998,-50.7151543360416
1655247279.642,0.084686279296875,0.00335451707534854,14-06-2022 22:54:39.6420,-17.9114346148658,-50.8141416629143
1655250879.686,0.0830078125,0.00443585760638181,14-06-2022 23:54:39.6860,-18.5904571738144,-50.3766861136928
1655254479.616,0.08087158203125,0.00447809446785952,15-06-2022 00:54:39.6160,-19.4546677033852,-50.3595992211692
1655258079.678,0.07965087890625,0.00284918772306098,15-06-2022 01:54:39.6780,-19.9485022917114,-51.0185722960021
1655261679.667,0.08087158203125,0.00350624740280048,15-06-2022 02:54:39.6670,-19.4546677033852,-50.7527592659503
1655265279.655,0.0836181640625,0.00416858845536876,15-06-2022 03:54:39.6550,-18.3435398796513,-50.4848096602454
1655268879.652,0.088348388671875,0.00367065336394811,15-06-2022 04:54:39.6520,-16.4299308498872,-50.6862489503143
1655272480.199,0.0958251953125,0.00438775345855486,15-06-2022 05:54:40.1990,-13.4051939963892,-50.396146612771
1655276079.683,0.102386474609375,0.00488671533443259,15-06-2022 06:54:39.6830,-10.7508330841359,-50.1942919377742
1655279679.672,0.107879638671875,0.0052163283397056,15-06-2022 07:54:39.6720,-8.52857743666796,-50.0609472289483
1655283279.662,0.123291015625,0.00498155958798664,15-06-2022 08:54:39.6620,-2.29391575904964,-50.1559227618871
1655286879.682,0.136260986328125,0.00854269610502458,15-06-2022 09:54:39.6820,2.95307674191628,-48.7152674953867
1655290479.686,0.1519775390625,0.00577180492390785,15-06-2022 10:54:39.6860,9.31119706661615,-49.8362295685553
1655294079.732,0.1617431640625,0.00805174972626196,15-06-2022 11:54:39.7320,13.2618737732258,-48.9138795066785
1655297679.723,0.1690673828125,0.00709301370347165,15-06-2022 12:54:39.7230,16.224881303183,-49.3017354885563
1655301279.716,0.171966552734375,0.0109856026636624,15-06-2022 13:54:39.7160,17.3977384504577,-47.7269913699329
1655304879.708,0.177688598632812,0.00670161851134576,15-06-2022 14:54:39.7080,19.7125880832368,-49.460074137502
1655308479.682,0.18829345703125,0.00654802827635586,15-06-2022 15:54:39.6820,24.0027760693207,-49.5222089587487
1655312079.741,0.1947021484375,0.00793636389575671,15-06-2022 16:54:39.7410,26.5954076580333,-48.9605587630343
1655315679.733,0.19195556640625,0.00712884696860372,15-06-2022 17:54:39.7330,25.4842798342993,-49.2872391664183
1655319279.725,0.1934814453125,0.0077537126539669,15-06-2022 18:54:39.7250,26.1015730697071,-49.0344501940868
1655322879.71,0.185089111328125,0.0068208199843073,15-06-2022 19:54:39.7100,22.7064602749644,-49.4118512656814
1655326479.702,0.1739501953125,0.00857976976747014,15-06-2022 20:54:39.7020,18.2002196564878,-48.7002693713902
1655330079.694,0.1727294921875,0.00776306018801664,15-06-2022 21:54:39.6939,17.7063850681616,-49.0306686557793
1655333679.768,0.162506103515625,0.00592145325925088,15-06-2022 22:54:39.7680,13.5705203909297,-49.7756894400308
1655337279.681,0.1568603515625,0.00577675986261765,15-06-2022 23:54:39.6810,11.286535419921,-49.8342250515947
1655340879.616,0.15594482421875,0.00697578016909497,16-06-2022 00:54:39.6160,10.9161594786763,-49.3491622322102
1655344479.691,0.1629638671875,0.00699459176325512,16-06-2022 01:54:39.6909,13.755708361552,-49.3415520150595
1655348079.683,0.172576904296875,0.00675432464171067,16-06-2022 02:54:39.6830,17.6446557446208,-49.4387519096335
1655351679.681,0.18890380859375,0.00768991740593866,16-06-2022 03:54:39.6810,24.2496933634838,-49.0602585166855
1655355279.662,0.212249755859375,0.00777390749983513,16-06-2022 04:54:39.6620,33.6942798652225,-49.0262803834331
1655358879.656,0.235824584960938,0.0107119890667115,16-06-2022 05:54:39.6560,43.2314603522723,-47.8376815576153
1655362479.712,0.247039794921875,0.00752811880404957,16-06-2022 06:54:39.7120,47.7685656325193,-49.1257140269724
1655366079.704,0.2679443359375,0.0109294816279933,16-06-2022 07:54:39.7040,56.2254829576055,-47.7496950953339
1655369679.692,0.279388427734375,0.0130943152996547,16-06-2022 08:54:39.6919,60.8551822231637,-46.8739131601974
1655373279.68,0.2874755859375,0.0105357747410382,16-06-2022 09:54:39.6800,64.1268363708248,-47.9089689387924
1655376879.673,0.300064086914062,0.0118904512213896,16-06-2022 10:54:39.6730,69.2195055629388,-47.3609355240426
1655380479.665,0.30426025390625,0.0101133011101371,16-06-2022 11:54:39.6650,70.9170619603101,-48.0798803482268
1655384079.724,0.328369140625,0.0103998819719177,16-06-2022 12:54:39.7240,80.6702950797526,-47.9639442627027
1655387679.707,0.335693359375,0.015024489582004,16-06-2022 13:54:39.7070,83.6333026097098,-46.0930625155152
1655391279.7,0.325088500976562,0.00958469450558279,16-06-2022 14:54:39.7000,79.3431146236259,-48.2937277773031
1655394879.692,0.316009521484375,0.00996629070328201,16-06-2022 15:54:39.6919,75.6702198729498,-48.139353304642
1655398479.675,0.3070068359375,0.0111102022082619,16-06-2022 16:54:39.6750,72.028189784044,-47.6765847120381
1655402079.676,0.290603637695312,0.0112406428269464,16-06-2022 17:54:39.6760,65.3922875034107,-47.6238150517417
1655405679.725,0.279617309570312,0.0108835082159318,16-06-2022 18:54:39.7250,60.9477762084748,-47.7682936067609
1655409279.717,0.271453857421875,0.0096592526139919,16-06-2022 19:54:39.7170,57.6452573990434,-48.2635653471278
